,Av,Rt,Th,Cost
2015-09-25,0.6910220159072864,0.7004113660721674,0.6706813038546457,0.6365177512649635
2015-09-26,0.7237114573764258,0.6835827205730917,0.630851969039617,0.4703356313238259
2015-09-27,0.6285523343872439,0.725127486022316,0.6703930938655122,0.47284498889650994
2015-09-28,0.6912272803227787,0.8119392610434633,0.609260314629847,0.5073449099914852
2015-09-29,0.8118812806973303,0.6816581758365777,0.5939107522653686,0.6343890408769547
2015-09-30,0.7120512218587272,0.7641998823885896,0.6088656251899666,0.6377396753387475
2015-10-01,0.789130253011851,0.7094327113841666,0.6072844774640549,0.4316664379008024
2015-10-02,0.7021493135760033,0.7910654508932911,0.5892920531466688,0.4010774428128879
2015-10-03,0.690948375439437,0.6521983819151039,0.6433635836411714,0.5487602365381739
2015-10-04,0.595481446741051,0.7725091576487061,0.6095654175474771,0.44462019008732034
2015-10-05,0.6088848609192181,0.7342305579497835,0.5878205905502875,0.5121295570479614
2015-10-06,0.6011659798872736,0.760387258438969,0.5918407617450377,0.43391270413886224
2015-10-07,0.5545096163783148,0.7426633242734318,0.5953997979290602,0.46217727865901687
2015-10-08,0.5558662918850636,0.7217105860864187,0.6129094210592642,0.30139669301837246
2015-10-09,0.5757205960663536,0.8075144534090659,0.5981268476985107,0.5660165052105003
2015-10-10,0.5594881525969498,0.7158702282046518,0.5126913332378265,0.490648728428135
2015-10-11,0.6809398754324375,0.848686335851444,0.5649052883299794,0.36869266719021476
2015-10-12,0.581080394737329,0.7257661419531883,0.5613443621462021,0.4521568222984932
2015-10-13,0.5521586341073466,0.7436716583061445,0.5641039089552159,0.5171381798939982
2015-10-14,0.555610648409736,0.779001545395497,0.5823200147035842,0.4986846221327376
2015-10-15,0.5496936632789243,0.7552518096015883,0.6432650950029182,0.510406788957839
2015-10-16,0.5819922607726615,0.7922329917632491,0.5973124456327433,0.5459675778118463
2015-10-17,0.5145158671064691,0.7658303985142754,0.6029412452211026,0.5566952401785543
2015-10-18,0.5672163177101688,0.7280886950531613,0.6189238446737353,0.4323037342538865
2015-10-19,0.43395911512625934,0.7094009378463554,0.6126248822802524,0.610838863870319
2015-10-20,0.5354270148642886,0.7205247220273084,0.6227823863485885,0.462770011402115
2015-10-21,0.4678199798212128,0.6931621601436049,0.6193218211003912,0.4766737732792085
2015-10-22,0.5920900439288567,0.7475896160162985,0.5489700958898274,0.5567699477431405
2015-10-23,0.4024088339963383,0.74860769302316,0.6434257051444364,0.49570394435309095
2015-10-24,0.39293957999915147,0.7552495986847261,0.6543816447695063,0.5135711458093164
2015-10-25,0.4242392882020513,0.6943779452506116,0.6276523712589255,0.5867843019660602
2015-10-26,0.33535458110233884,0.7337072196188893,0.6520362503374838,0.4243015537740329
2015-10-27,0.29009430209071513,0.7436050117124817,0.6230036789678998,0.5667539606884054
2015-10-28,0.2630828380903281,0.6439384519694117,0.5801135221949092,0.4964331441541205
2015-10-29,0.25913730989528216,0.7552085262126133,0.5958344382521804,0.4652058645092056
2015-10-30,0.32152446001153967,0.6474400708675261,0.6136389264054912,0.50148597813378
2015-10-31,0.38923368256040347,0.5842770132605493,0.6217251911763778,0.4382211416737494
2015-11-01,0.2678946683562009,0.7010449854380444,0.6006755073932236,0.53580132052056
2015-11-02,0.3632283690858237,0.5929219376658904,0.6101894639097517,0.5420919638578547
2015-11-03,0.4010805436626141,0.6553877544205629,0.5887074900261351,0.5643551415795058
2015-11-04,0.45647060387125116,0.5698448766923031,0.6354803922427393,0.5612135974635779
2015-11-05,0.3400328480687453,0.6110963728806954,0.591589035929087,0.6606880084331167
2015-11-06,0.4089089531848555,0.6948143358218257,0.591748852580789,0.5096185481541547
2015-11-07,0.320284152650753,0.6748982512241981,0.6331097978761059,0.551841897167974
2015-11-08,0.3378542548550855,0.6825821544064812,0.6347736656050078,0.6119885642184125
2015-11-09,0.3345000198353499,0.6926788180444305,0.5889544518665641,0.6231013480337939
2015-11-10,0.252716637364241,0.6433705618478903,0.6222557603648236,0.5338911215043914
2015-11-11,0.24751573513900044,0.6680712250557918,0.6748559911564359,0.5406057937187587
2015-11-12,0.21089141757865176,0.6527513845788236,0.6185395883557195,0.4842419515670214
2015-11-13,0.24496386951960028,0.7107191918974313,0.6488706391103243,0.5452252169488051
2015-11-14,0.20357299171592647,0.697092281272034,0.6679815111623527,0.547838053981799
2015-11-15,0.2751834099089351,0.7136755138254407,0.6752877937158509,0.48391121243229146
2015-11-16,0.22722545847462336,0.7135562947495545,0.6947778431816134,0.4506963403016985
2015-11-17,0.22276988483462612,0.7104905822003464,0.5785451701699548,0.3802037125304915
2015-11-18,0.2540887122141321,0.7042922371547022,0.6081505376687263,0.3279569597116003
2015-11-19,0.1913332773498574,0.6523531935242515,0.6305528204199924,0.3524011942459834
2015-11-20,0.25946934953647316,0.6139301628199778,0.6450781567464304,0.3306566228400081
2015-11-21,0.32108529124632457,0.70039084337632,0.6364900966984117,0.3827184639962231
2015-11-22,0.2776092182986307,0.6484346221767273,0.6856476375551108,0.3920335621727201
2015-11-23,0.2587273069129423,0.6099965030100624,0.7146306613710026,0.3464835651379719
2015-11-24,0.2397833337159016,0.6401980764495777,0.6333290510807185,0.37072543433203853
2015-11-25,0.2329463472909769,0.6166798796865358,0.6264850345404493,0.3817879008494157
2015-11-26,0.2281390743881692,0.5870779238702447,0.6160762375753678,0.2507355108888862
2015-11-27,0.2917269125718277,0.5932565676043455,0.6372189033826137,0.2621636016659363
2015-11-28,0.30489146274619744,0.6619212721809242,0.6139319028718215,0.15825017048006673
2015-11-29,0.28365360532284156,0.5717182324515697,0.5944051457563292,0.18949597985531885
2015-11-30,0.42587878356308545,0.6585410180865373,0.5899116825435307,0.2818108895976377
2015-12-01,0.3185482102806536,0.6197573817415476,0.6280171850960298,0.15584703733011646
2015-12-02,0.40396319136080044,0.5884556175781711,0.5753732620794747,0.24637744992125865
2015-12-03,0.43478452337222,0.6700567299668595,0.5643322341945236,0.18688091907238014
2015-12-04,0.45642359293340024,0.6827768002677432,0.47647183591493375,0.11981832103740758
