trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1381,False,"{'a': 0.002, 'e': 0.06316531132211131}",20,8,23.295063196568513,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1382,False,"{'a': 0.002, 'e': 0.0630391069459114}",25,18,12.231074430564101,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1383,False,"{'a': 0.002, 'e': 0.06291315472622334}",20,9,18.621310415723563,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1384,False,"{'a': 0.002, 'e': 0.06278745415923806}",20,14,-10.214749164409563,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
1385,False,"{'a': 0.002, 'e': 0.06266200474215315}",30,16,18.744916888543187,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
1386,False,"{'a': 0.002, 'e': 0.06253680597317074}",25,15,19.314461853225303,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1387,False,"{'a': 0.002, 'e': 0.06241185735149562}",20,15,8.510804241749005,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1388,False,"{'a': 0.002, 'e': 0.0622871583773331}",25,12,24.898138904588382,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1389,False,"{'a': 0.002, 'e': 0.062162708551887165}",20,0,6.831010315151127,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
1390,False,"{'a': 0.002, 'e': 0.06203850737735829}",20,5,23.49255263740329,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1391,False,"{'a': 0.002, 'e': 0.061914554356941674}",20,13,1.4666995602666706,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1392,False,"{'a': 0.002, 'e': 0.061790848994825016}",20,1,-21.634947462157047,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
1393,False,"{'a': 0.002, 'e': 0.061667390796186744}",25,19,8.342664888191145,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1394,False,"{'a': 0.002, 'e': 0.06154417926719386}",25,1,21.877517153418577,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
1395,False,"{'a': 0.002, 'e': 0.06142121391500013}",30,9,34.47376453225184,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1396,False,"{'a': 0.002, 'e': 0.061298494247743925}",25,6,-3.94632565746141,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
1397,False,"{'a': 0.002, 'e': 0.06117601977454647}",25,15,19.32815324649699,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1398,False,"{'a': 0.002, 'e': 0.06105379000550965}",30,18,11.18697296022877,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1399,False,"{'a': 0.002, 'e': 0.06093180445171429}",20,5,1.3290695518069384,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
1400,False,"{'a': 0.002, 'e': 0.06081006262521795}",20,10,9.548073548425553,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1401,False,"{'a': 0.002, 'e': 0.06068856403905322}",20,7,20.96041251886878,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1402,False,"{'a': 0.002, 'e': 0.060567308207225536}",20,0,29.76014671878779,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1403,False,"{'a': 0.002, 'e': 0.06044629464471146}",25,15,17.428089289037167,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1404,False,"{'a': 0.002, 'e': 0.06032552286745654}",20,16,7.914437662354276,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1405,False,"{'a': 0.002, 'e': 0.06020499239237354}",25,5,33.23213274250448,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1406,False,"{'a': 0.002, 'e': 0.06008470273734036}",20,12,12.9453687732946,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1407,False,"{'a': 0.002, 'e': 0.05996465342119827}",20,2,25.652078462670513,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1408,False,"{'a': 0.002, 'e': 0.059844843963749825}",25,20,8.583398532877125,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1409,False,"{'a': 0.002, 'e': 0.05972527388575699}",30,18,18.96566346040323,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1410,False,"{'a': 0.002, 'e': 0.05960594270893937}",35,19,4.97388596270685,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
1411,False,"{'a': 0.002, 'e': 0.05948684995597202}",20,7,10.187285858879843,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1412,False,"{'a': 0.002, 'e': 0.05936799515048385}",20,8,20.639688080077736,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1413,False,"{'a': 0.002, 'e': 0.0592493778170554}",20,16,6.435821734443031,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1414,False,"{'a': 0.002, 'e': 0.05913099748121725}",25,15,-22.43485740123865,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
1415,False,"{'a': 0.002, 'e': 0.05901285366944784}",20,7,24.180345897228076,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
